HUC2,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th
1,11,5,4,9,12,6,8,3,10,2,1,7
2,7,5,10,8,6,3,2,9,11,12,4,1
3,3,2,7,1,4,12,5,11,6,8,9,10
4,4,8,9,7,6,5,3,11,10,12,2,1
5,5,3,7,6,4,11,8,12,2,9,10,1
6,3,7,12,2,1,5,6,11,4,9,8,10
7,6,8,7,5,9,4,10,3,11,12,2,1
8,7,2,8,4,12,9,1,5,3,6,11,10
9,6,7,5,8,9,4,10,3,11,1,12,2
10a,6,5,9,7,8,4,3,10,11,2,12,1
10b,5,6,4,9,10,3,7,11,8,1,12,2
11a,5,11,4,3,10,6,9,12,7,8,2,1
11b,6,8,7,5,9,10,4,3,11,2,1,12
12a,5,4,10,9,6,3,2,11,7,8,12,1
12b,9,5,6,8,10,7,4,11,3,2,12,1
13,9,8,7,10,6,12,2,11,1,3,5,4
14,5,4,9,6,7,3,8,10,2,11,12,1
15a,7,8,3,12,2,9,1,11,10,4,5,6
15b,12,8,9,3,7,2,11,1,10,4,6,5
16a,4,3,5,10,12,2,11,9,1,6,8,7
16b,11,6,12,4,5,3,1,2,10,8,9,7
17a,12,11,1,2,3,10,4,5,9,6,8,7
17b,5,3,4,11,12,6,1,2,10,9,8,7
18a,1,2,11,3,12,4,10,9,5,6,8,7
18b,1,3,2,12,11,4,10,9,5,8,6,7
19a,7,6,8,9,5,10,11,12,1,2,4,3
19b,8,9,7,10,6,12,11,4,5,2,3,1
20a,4,11,3,12,2,5,1,7,10,8,9,6
20b,12,1,11,2,10,3,4,5,9,7,6,8
21,11,5,10,9,8,12,7,6,4,1,2,3
