Type,Name,E_day,E_month,H_day,H_month
ESA,AdulticideESA1,1,9,2,11
ESA,AdulticideESA10a,1,9,2,11
ESA,AdulticideESA10b,1,9,2,11
ESA,AdulticideESA11a,1,9,2,11
ESA,AdulticideESA11b,1,9,2,11
ESA,AdulticideESA12a,1,9,2,11
ESA,AdulticideESA12b,1,9,2,11
ESA,AdulticideESA13,1,9,2,11
ESA,AdulticideESA14,1,9,2,11
ESA,AdulticideESA15a,1,9,2,11
ESA,AdulticideESA15b,1,9,2,11
ESA,AdulticideESA16a,1,9,2,11
ESA,AdulticideESA16b,1,9,2,11
ESA,AdulticideESA17a,1,9,2,11
ESA,AdulticideESA17b,1,9,2,11
ESA,AdulticideESA18a,1,9,2,11
ESA,AdulticideESA18b,1,9,2,11
ESA,AdulticideESA19a,1,9,2,11
ESA,AdulticideESA19b,1,9,2,11
ESA,AdulticideESA2,1,9,2,11
ESA,AdulticideESA20a,1,9,2,11
ESA,AdulticideESA20b,1,9,2,11
ESA,AdulticideESA21,1,9,2,11
ESA,AdulticideESA3,1,9,2,11
ESA,AdulticideESA4,1,9,2,11
ESA,AdulticideESA5,1,9,2,11
ESA,AdulticideESA6,1,9,2,11
ESA,AdulticideESA7,1,9,2,11
ESA,AdulticideESA8,1,9,2,11
ESA,AdulticideESA9,1,9,2,11
ESA,AdulticidesaESA1,1,9,2,11
ESA,AdulticidesaESA10a,1,9,2,11
ESA,AdulticidesaESA10b,1,9,2,11
ESA,AdulticidesaESA11a,1,9,2,11
ESA,AdulticidesaESA11b,1,9,2,11
ESA,AdulticidesaESA12a,1,9,2,11
ESA,AdulticidesaESA12b,1,9,2,11
ESA,AdulticidesaESA13,1,9,2,11
ESA,AdulticidesaESA14,1,9,2,11
ESA,AdulticidesaESA15a,1,9,2,11
ESA,AdulticidesaESA15b,1,9,2,11
ESA,AdulticidesaESA16a,1,9,2,11
ESA,AdulticidesaESA16b,1,9,2,11
ESA,AdulticidesaESA17a,1,9,2,11
ESA,AdulticidesaESA17b,1,9,2,11
ESA,AdulticidesaESA18a,1,9,2,11
ESA,AdulticidesaESA18b,1,9,2,11
ESA,AdulticidesaESA19a,1,9,2,11
ESA,AdulticidesaESA19b,1,9,2,11
ESA,AdulticidesaESA2,1,9,2,11
ESA,AdulticidesaESA20a,1,9,2,11
ESA,AdulticidesaESA20b,1,9,2,11
ESA,AdulticidesaESA21,1,9,2,11
ESA,AdulticidesaESA3,1,9,2,11
ESA,AdulticidesaESA4,1,9,2,11
ESA,AdulticidesaESA5,1,9,2,11
ESA,AdulticidesaESA6,1,9,2,11
ESA,AdulticidesaESA7,1,9,2,11
ESA,AdulticidesaESA8,1,9,2,11
ESA,AdulticidesaESA9,1,9,2,11
ESA,CitrusESA10a,1,1,31,12
ESA,CitrusESA10b,1,1,31,12
ESA,CitrusESA11a,1,1,31,12
ESA,CitrusESA11b,1,1,31,12
ESA,CitrusESA12a,16,3,1,2
ESA,CitrusESA12b,16,3,1,2
ESA,CitrusESA13,1,1,31,12
ESA,CitrusESA15a,1,1,31,12
ESA,CitrusESA15b,1,1,31,12
ESA,CitrusESA16a,1,1,31,12
ESA,CitrusESA16b,1,1,31,12
ESA,CitrusESA17a,1,1,31,12
ESA,CitrusESA17b,1,1,31,12
ESA,CitrusESA18a,1,1,31,12
ESA,CitrusESA18b,1,1,31,12
ESA,CitrusESA2,1,1,31,12
ESA,CitrusESA20a,1,1,31,12
ESA,CitrusESA20b,1,1,31,12
ESA,CitrusESA21,1,1,31,12
ESA,CitrusESA3,1,1,31,12
ESA,CitrusESA4,1,1,31,12
ESA,CitrusESA5,1,1,31,12
ESA,CitrusESA6,1,1,31,12
ESA,CitrusESA7,1,1,31,12
ESA,CitrusESA8,1,1,31,12
ESA,CitrusESA9,1,1,31,12
ESA,CitrussaESA10a,1,1,31,12
ESA,CitrussaESA10b,1,1,31,12
ESA,CitrussaESA11a,1,1,31,12
ESA,CitrussaESA11b,1,1,31,12
ESA,CitrussaESA12a,16,3,1,2
ESA,CitrussaESA12b,16,3,1,2
ESA,CitrussaESA13,1,1,31,12
ESA,CitrussaESA15a,1,1,31,12
ESA,CitrussaESA15b,1,1,31,12
ESA,CitrussaESA16a,1,1,31,12
ESA,CitrussaESA16b,1,1,31,12
ESA,CitrussaESA17a,1,1,31,12
ESA,CitrussaESA17b,1,1,31,12
ESA,CitrussaESA18a,1,1,31,12
ESA,CitrussaESA18b,1,1,31,12
ESA,CitrussaESA2,1,1,31,12
ESA,CitrussaESA20a,1,1,31,12
ESA,CitrussaESA20b,1,1,31,12
ESA,CitrussaESA21,1,1,31,12
ESA,CitrussaESA3,1,1,31,12
ESA,CitrussaESA4,1,1,31,12
ESA,CitrussaESA5,1,1,31,12
ESA,CitrussaESA6,1,1,31,12
ESA,CitrussaESA7,1,1,31,12
ESA,CitrussaESA8,1,1,31,12
ESA,CitrussaESA9,1,1,31,12
ESA,CornESA1,1,6,4,9
ESA,CornESA10a,10,5,20,10
ESA,CornESA10b,10,5,20,10
ESA,CornESA11a,25,5,20,10
ESA,CornESA11b,25,5,20,10
ESA,CornESA12a,1,3,1,7
ESA,CornESA12b,1,3,1,7
ESA,CornESA13,16,3,10,9
ESA,CornESA14,16,3,10,9
ESA,CornESA15a,16,3,10,9
ESA,CornESA15b,16,3,10,9
ESA,CornESA16a,16,3,10,9
ESA,CornESA16b,16,3,10,9
ESA,CornESA17a,16,5,10,9
ESA,CornESA17b,16,5,10,9
ESA,CornESA18a,1,4,8,9
ESA,CornESA18b,1,4,8,9
ESA,CornESA2,16,4,1,10
ESA,CornESA20a,16,10,15,1
ESA,CornESA20b,16,10,15,1
ESA,CornESA21,16,10,15,1
ESA,CornESA3,25,4,17,9
ESA,CornESA4,1,6,4,9
ESA,CornESA5,1,5,25,10
ESA,CornESA6,25,4,17,9
ESA,CornESA7,1,5,20,10
ESA,CornESA8,10,4,2,9
ESA,CornESA9,5,5,12,8
ESA,CornsaESA1,1,6,4,9
ESA,CornsaESA10a,10,5,20,10
ESA,CornsaESA10b,10,5,20,10
ESA,CornsaESA11a,25,5,20,10
ESA,CornsaESA11b,25,5,20,10
ESA,CornsaESA12a,1,3,1,7
ESA,CornsaESA12b,1,3,1,7
ESA,CornsaESA13,16,3,10,9
ESA,CornsaESA14,16,3,10,9
ESA,CornsaESA15a,16,3,10,9
ESA,CornsaESA15b,16,3,10,9
ESA,CornsaESA16a,16,3,10,9
ESA,CornsaESA16b,16,3,10,9
ESA,CornsaESA17a,16,5,10,9
ESA,CornsaESA17b,16,5,10,9
ESA,CornsaESA18a,1,4,8,9
ESA,CornsaESA18b,1,4,8,9
ESA,CornsaESA2,16,4,1,10
ESA,CornsaESA20a,16,10,15,1
ESA,CornsaESA20b,16,10,15,1
ESA,CornsaESA21,16,10,15,1
ESA,CornsaESA3,25,4,17,9
ESA,CornsaESA4,1,6,4,9
ESA,CornsaESA5,1,5,25,10
ESA,CornsaESA6,25,4,17,9
ESA,CornsaESA7,1,5,20,10
ESA,CornsaESA8,10,4,2,9
ESA,CornsaESA9,5,5,12,8
ESA,CottonESA10a,16,3,15,10
ESA,CottonESA10b,16,3,15,10
ESA,CottonESA11a,16,3,15,10
ESA,CottonESA11b,16,3,15,10
ESA,CottonESA12a,16,3,15,10
ESA,CottonESA12b,16,3,15,10
ESA,CottonESA13,16,3,15,10
ESA,CottonESA14,16,3,15,10
ESA,CottonESA15a,1,5,11,11
ESA,CottonESA15b,1,5,11,11
ESA,CottonESA18a,16,3,15,10
ESA,CottonESA18b,16,3,15,10
ESA,CottonESA2,1,6,1,11
